epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,2578.39,0.30547,0.51813,0.22673,0.81016,0,0.99163,0.97786,0.98987,0.95302,0.99163,0.97786,0.98987,0.89524,0.32598,0.57974,0.22543,0.81254,0,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058
66,2618.52,0.30775,0.5068,0.22406,0.80807,0,0.9899,0.98227,0.99015,0.95472,0.9899,0.98227,0.99015,0.89464,0.32027,0.57155,0.216,0.81004,0,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
67,2662.63,0.3013,0.52573,0.23033,0.8039,0,0.9901,0.98312,0.99035,0.95479,0.9901,0.98312,0.99035,0.89737,0.32959,0.58547,0.22047,0.81274,0,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059
68,2705.89,0.31539,0.52641,0.2273,0.80994,0,0.99046,0.98438,0.98947,0.95532,0.99046,0.98438,0.98947,0.89913,0.32795,0.58759,0.21698,0.81067,0,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606
69,2754.78,0.30403,0.54438,0.22327,0.81224,0,0.98511,0.99073,0.99103,0.95578,0.98511,0.99073,0.99103,0.90156,0.32588,0.58231,0.21952,0.80983,0,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061
70,2799.27,0.31671,0.57937,0.2338,0.81105,0,0.98961,0.98258,0.99096,0.95529,0.98961,0.98258,0.98814,0.90357,0.3268,0.59001,0.2202,0.81104,0,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062
71,2842.6,0.29484,0.5454,0.21313,0.80468,0,0.99022,0.98233,0.99085,0.95356,0.99022,0.98233,0.98992,0.89727,0.33365,0.58603,0.22504,0.81335,0,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
72,2900.2,0.30951,0.5167,0.22324,0.80364,0,0.9881,0.98258,0.99117,0.95727,0.9881,0.98258,0.99117,0.89902,0.33373,0.58744,0.2218,0.81234,0,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064
73,2942.51,0.30359,0.54035,0.21963,0.81076,0,0.98686,0.98258,0.99088,0.9564,0.98686,0.98258,0.99002,0.89337,0.32618,0.58813,0.22113,0.80997,0,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065
74,2981.27,0.27665,0.4906,0.21019,0.81999,0,0.98408,0.98258,0.99098,0.95936,0.98408,0.98258,0.99098,0.90008,0.32449,0.58335,0.21665,0.80971,0,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066
